Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717591140,3.52,21.521,27.6,1136,88,184
1717591740,3.52,21.546,27.3,1139,81,176
1717592340,3.52,21.571,25.4,1004,64,384
1717592940,3.52,21.579,23.8,1132,102,184
1717593540,3.52,21.613,24.7,1127,104,192
1717594140,3.52,21.638,21.6,1104,104,244
1717594740,3.52,21.655,19.4,1096,96,272
1717595340,3.52,21.697,18.3,1095,96,276
1717595940,3.52,21.713,16.3,1123,104,198
1717596540,3.52,21.697,15.1,1103,104,248
1717597140,3.52,21.713,13.7,1091,96,286
1717597740,3.52,21.739,12.8,1104,103,246
1717598340,3.52,21.764,10.9,1088,96,295
1717598940,3.52,21.772,9.9,1088,92,295
1717599540,3.52,21.781,8.7,1086,96,296
1717600140,3.52,21.806,8.3,1072,88,323
1717600740,3.52,21.789,7.5,1089,100,275
1717601340,3.52,21.822,5.4,1072,88,320
1717601940,3.52,21.848,4.3,1039,72,374
1717602540,3.52,21.881,4.5,1027,67,376
1717603140,3.52,21.973,3.3,1007,64,376
1717603740,3.52,21.99,2.4,1078,88,320
1717604340,3.52,21.982,1.7,1036,67,376
1717604940,3.52,21.931,1.1,1062,76,348
1717605540,3.52,21.881,0.7,1024,64,384
1717606140,3.52,21.873,0.3,1072,80,332
1717606740,3.52,21.889,0,1044,70,374
1717607340,3.52,21.856,0,1072,88,335
1717607940,3.52,21.814,0.1,1110,103,232
1717608540,3.52,21.822,0.1,1064,83,339
1717609140,3.52,21.814,0,1056,78,358
1717609740,3.52,21.814,0.1,1096,96,268
1717610340,3.52,21.839,0.1,1075,84,320
1717610940,3.52,21.848,-0.1,1084,88,307
1717611540,3.52,21.814,0.2,1072,80,334
1717612140,3.52,21.747,-0.1,1076,83,320
1717612740,3.52,21.755,0,1091,96,280
1717613340,3.52,21.781,0,1055,72,359
1717613940,3.52,21.797,-0.1,1070,79,336
1717614540,3.52,21.806,0,1096,96,268
1717615140,3.52,21.822,0.1,1095,96,280
1717615740,3.52,21.839,-0.1,1059,72,348
1717616340,3.52,21.839,0,1073,83,323
1717616940,3.52,21.839,0,1032,70,380
1717617540,3.52,21.839,0.1,1062,80,344
1717618140,3.52,21.856,-0.1,1097,96,270
1717618740,3.52,21.864,-0.1,1107,102,236
1717619340,3.52,21.881,0,1080,88,312
1717619940,3.52,21.856,0.1,1086,88,300
1717620540,3.52,21.839,0.1,1095,96,276
1717621140,3.52,21.672,0,1004,60,387
1717621740,3.52,21.588,0.1,1120,102,204
1717622340,3.52,21.521,0,1102,102,256
1717622940,3.52,21.479,0,999,62,380
